year,BRA_region_agri,CAN_region_agri,CHN_region_agri,CIS_region_agri,IND_region_agri,JPN_region_agri,TUR_region_agri,USA_region_agri,XAF_region_agri,XE25_region_agri,XER_region_agri,XLM_region_agri,XME_region_agri,XNF_region_agri,XOC_region_agri,XSA_region_agri,XSE_region_agri
2005,0.8475587980019657,0.902600406161833,0.899774332260603,0.9283484573400137,0.9259883741108184,0.6549263466861025,0.8418642530977068,0.9239849040549686,0.8958956636889487,0.8552487586824519,0.8175567700117734,0.8633283084068512,0.6875051930548731,0.7448794805120393,0.8313962614790148,0.8027124988648227,0.8035390121761018
2010,0.8507260871827196,0.8788684032299299,0.8949358541216224,0.9242149534199706,0.9229441911658124,0.653084940648297,0.8287843933174166,0.9239150455124976,0.9003919457291527,0.854919878251891,0.8127281201645266,0.849844470837048,0.6759752278390058,0.7505835390043629,0.8263239362858353,0.8035431339959587,0.798302790452898
2020,0.8511559660857871,0.8741407233344713,0.8656755075529511,0.923613070709469,0.9171625605206583,0.6527470565223774,0.8169260705175492,0.9233795132242121,0.8928860051875627,0.853013066035148,0.7889594519010725,0.8525311147943135,0.6596300429570537,0.745352244243367,0.8298113493915551,0.8014583158260492,0.7984912295430888
2030,0.8536274949136083,0.8712063386299846,0.8528147241757197,0.9213633207615859,0.9082499362023186,0.6546877575454983,0.8219901411100926,0.9219738211039701,0.8907064085002168,0.8508220188272041,0.7915176578172283,0.8503015510330568,0.6503284592779462,0.7451854618517094,0.8275807009367527,0.8027171764361373,0.7917273440413746
2040,0.8547564657418762,0.87196172767808,0.8555138875971873,0.9225964227617071,0.9041599068684371,0.6358033202392388,0.8079874446057433,0.9196846456899707,0.8870223353576477,0.8464318441225777,0.7861087307868864,0.8489364553259143,0.6446250168925145,0.7457938978847034,0.8175021873766491,0.790724150184577,0.7823155181114262
2050,0.8558218259003509,0.8740509968354359,0.8533191967049929,0.9168399533650664,0.8987784052717139,0.6411261064836656,0.805141923734868,0.9118934836805163,0.8851789121579386,0.8386693237138012,0.7827164009766663,0.8477029424385218,0.6376049269072943,0.7367755209582214,0.8126753269117893,0.7771082957434371,0.7747354077612651
2060,0.8532214793153307,0.8760787805284714,0.8516630017774478,0.9084141879784392,0.8942928617983537,0.637159421708399,0.798829127809379,0.9020166385140254,0.8829541008906091,0.8302862656774667,0.7771114533230759,0.846293802681669,0.631444126476766,0.7313410719681424,0.8043304366274746,0.7661679646226478,0.7726787951516545
2070,0.8473068628115246,0.8759424455339293,0.8356260109806013,0.8977246569721512,0.8904770115548768,0.6251303798185249,0.7911414268079874,0.8977184795687446,0.8747066771087034,0.8195843419555777,0.7721352940814167,0.8439035241378022,0.623430580818526,0.7284467423755213,0.7856823323845386,0.7584397084826633,0.7715007177210255
2080,0.8330188118693446,0.8759658022800079,0.8207786895913904,0.8886311593079785,0.8872536562399025,0.6095624808545541,0.7832483476460325,0.8829743018970176,0.8659793216874263,0.8095503089908259,0.7700251437487526,0.8406052300645327,0.6137129568821166,0.7162560801071995,0.7407413362857541,0.7515793958735832,0.7685383633871644
2090,0.8217586873761525,0.875913869714693,0.8089803278078893,0.881860901509872,0.8845245070590173,0.5958470364016483,0.7766870645574193,0.8677962982111757,0.8601335047542745,0.8008720465935415,0.7668242625280971,0.8374849822522997,0.6109392993730606,0.7046749613814439,0.6975542526330964,0.7459282531425618,0.7614758538631318
2100,0.814063557126958,0.8688559614919497,0.8055161681651423,0.8751293571767323,0.8813180945561223,0.5799624669787972,0.7647844257940574,0.8585690897934536,0.8521861110144802,0.7958173965323984,0.7672232549972596,0.835663265457494,0.6027164041261363,0.7081218054665741,0.6905344678195566,0.7425274472148333,0.7542668601141896
