year,BRA_basin_agri,CAN_basin_agri,CHN_basin_agri,CIS_basin_agri,IND_basin_agri,JPN_basin_agri,TUR_basin_agri,USA_basin_agri,XAF_basin_agri,XE25_basin_agri,XER_basin_agri,XLM_basin_agri,XME_basin_agri,XNF_basin_agri,XOC_basin_agri,XSA_basin_agri,XSE_basin_agri
2005,0.8260921170882184,0.9037315284393368,0.8862073362104319,0.9218262330692192,0.92511289406929,0.6549263466861025,0.8542187451273517,0.9053617299745239,0.8859552146114263,0.8344941430015919,0.8161137267166088,0.8581450635745154,0.693389761046192,0.7273108424752531,0.8303464108892422,0.7489225206345222,0.8111640465572661
2010,0.8308748867368244,0.8835017291723896,0.8827038821894208,0.9141121301495279,0.922021332708166,0.653084940648297,0.8352009952032886,0.9029275376867896,0.8852356161861324,0.8251580735066559,0.8108338159337464,0.8627844515481807,0.688791688576955,0.7296243116495554,0.8256961550928175,0.7546798557589139,0.8051562277484383
2020,0.8320153068075772,0.8623136397882444,0.8585740774816538,0.9014030149017812,0.913921999447502,0.6527470565223774,0.8270747557337148,0.9036107042170817,0.8709549455391598,0.8064562880795825,0.800338601995048,0.8602808309675909,0.6794006414580406,0.7186932833925196,0.8188188140341082,0.7485922064705368,0.7818434546431813
2030,0.8273332784793557,0.8604221188700667,0.8555536573897283,0.8975664824673775,0.9036963198165829,0.6546877575454983,0.8310105192896218,0.9033753053065519,0.8494259087797887,0.7979043511474243,0.7953773651612933,0.863893493387392,0.6668355227094961,0.7218586262465034,0.811538938385963,0.7449303711898732,0.775753638142031
2040,0.8137331881411345,0.8581061301503162,0.8538493149300139,0.8921132856203968,0.8997907268948632,0.6358033202392388,0.8223834468280872,0.9035171749440598,0.8237556262673064,0.7925135698061166,0.7849925797485413,0.8563489834240896,0.6527458599269215,0.7226676285197886,0.79563980609043,0.7583550647003718,0.7687116188556455
2050,0.8076284185104964,0.8539541760110687,0.8470428720554016,0.8829047150917908,0.8949748978952744,0.6411261064836656,0.8219667518651922,0.8992074229417147,0.805472039382825,0.7910504048063628,0.7711219986611232,0.8503401488077269,0.6367442048967406,0.7209630003075258,0.7820877823855192,0.7679263780157729,0.7640817772561698
2060,0.7999278065575068,0.8476934294194395,0.8409111509319616,0.8749294430863856,0.8912984560817425,0.637159421708399,0.8177211890984346,0.8992922096144524,0.7882498974635006,0.7879468988984034,0.7572533349341563,0.8444342767471055,0.6196238168988359,0.7171107826503457,0.7647798293142609,0.768739257077815,0.7590984755636583
2070,0.7917642833585798,0.8394327948667092,0.8334644731379542,0.8685869724012403,0.8884982226643892,0.6251303798185249,0.8146929188809705,0.9087487215568028,0.7756180214437682,0.7823383227639837,0.7424890369989853,0.8316952840747075,0.6019933428375878,0.7136169969504248,0.7219444526915897,0.766180729408529,0.7536501149431587
2080,0.7835491149000772,0.8309723714882954,0.8341369623025527,0.8644247119611629,0.8844994821422653,0.6095624808545541,0.802360919239254,0.9079014909964045,0.7657090668654744,0.7799085321444218,0.7337478090213776,0.8177376671053802,0.5840433077183225,0.7187809616081611,0.6836044893973859,0.7623979394018647,0.7486139317649716
2090,0.7729616998819356,0.8240297205042532,0.8292294372582046,0.8591315659110602,0.881868810059884,0.5958470364016483,0.7893460164397227,0.9013529516619585,0.7537598742172724,0.7761533648934822,0.7322634256890421,0.8080683796483175,0.5762391519104202,0.7318575457183212,0.6361708276385367,0.7597097889870122,0.746607382474175
2100,0.7582716171054237,0.8212709401221702,0.8198227936093561,0.8539411571455071,0.8767114111322083,0.5799624669787972,0.7772049879407144,0.8938669570360258,0.7443632105348403,0.7701898684211316,0.7292799991078595,0.8029352863300725,0.5641900538226313,0.7373560760817699,0.6065935292712763,0.7562717533435247,0.7488879286904786
